Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Michael Phelps,2008,8,0,0
Michael Phelps,2004,6,0,2
Michael Phelps,2012,4,2,0
Natalie Coughlin,2008,1,2,3
Aleksey Nemov,2000,2,1,3
Alicia Coutts,2012,1,3,1
Missy Franklin,2012,4,0,1
Ryan Lochte,2012,2,2,1
Allison Schmitt,2012,3,1,1
Natalie Coughlin,2004,2,2,1
Ian Thorpe,2000,3,2,0
Dara Torres,2000,2,0,3
Cindy Klassen,2006,1,2,2
Nastia Liukin,2008,1,3,1
Marit Bjørgen,2010,3,1,1
Sun Yang,2012,2,1,1
Kirsty Coventry,2008,1,3,0
Libby Lenton-Trickett,2008,2,1,1
Ryan Lochte,2008,2,0,2
Inge de Bruijn,2004,1,1,2
Petria Thomas,2004,3,1,0
Ian Thorpe,2004,2,1,1
Inge de Bruijn,2000,3,1,0
Gary Hall Jr.,2000,2,1,1
Michael Klim,2000,2,2,0
Susie O'Neill,2000,1,3,0
Jenny Thompson,2000,3,0,1
Pieter van den Hoogenband,2000,2,0,2
An Hyeon-Su,2006,3,0,1
Aliya Mustafina,2012,1,1,2
Shawn Johnson,2008,1,3,0
Dmitry Sautin,2000,1,1,2
Leontien Zijlaard-van Moorsel,2000,3,1,0
Petter Northug Jr.,2010,2,1,1
Ole Einar Bjørndalen,2002,4,0,0
Janica Kostelic,2002,3,1,0
Nathan Adrian,2012,2,1,0
Yannick Agnel,2012,2,1,0
Brittany Elmslie,2012,1,2,0
Matt Grevers,2012,2,1,0
Ryosuke Irie,2012,0,2,1
Cullen Jones,2012,1,2,0
Ranomi Kromowidjojo,2012,2,1,0
Camille Muffat,2012,1,1,1
Mel Schlanger,2012,1,2,0
Emily Seebohm,2012,1,2,0
Rebecca Soni,2012,2,1,0
Satomi Suzuki,2012,0,1,2
Dana Vollmer,2012,3,0,0
Alain Bernard,2008,1,1,1
László Cseh Jr.,2008,0,3,0
Matt Grevers,2008,2,1,0
Margaret Hoelzer,2008,0,2,1
Katie Hoff,2008,0,1,2
Leisel Jones,2008,2,1,0
Kosuke Kitajima,2008,2,0,1
Andrew Lauterstein,2008,0,1,2
Jason Lezak,2008,2,0,1
Pang Jiaying,2008,0,1,2
Aaron Peirsol,2008,2,1,0
Steph Rice,2008,3,0,0
Jess Schipper,2008,1,0,2
Rebecca Soni,2008,1,2,0
Eamon Sullivan,2008,0,2,1
Dara Torres,2008,0,3,0
Amanda Beard,2004,1,2,0
Antje Buschschulte,2004,0,0,3
Kirsty Coventry,2004,1,1,1
Ian Crocker,2004,1,1,1
Grant Hackett,2004,1,2,0
Brendan Hansen,2004,1,1,1
Jodie Henry,2004,3,0,0
Otylia Jedrzejczak,2004,1,2,0
Leisel Jones,2004,1,1,1
Kosuke Kitajima,2004,2,0,1
Laure Manaudou,2004,1,1,1
Aaron Peirsol,2004,3,0,0
Kaitlin Sandeno,2004,1,1,1
Roland Schoeman,2004,1,1,1
Pieter van den Hoogenband,2004,1,2,0
Therese Alshammar,2000,0,2,1
Yana Klochkova,2000,2,1,0
Lenny Krayzelburg,2000,3,0,0
